Unnamed: 0,domestic_gross,production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score,opening_gross,screens
0,760507625,425000000,2783918982,2009.0,1.78,178.0,4834,237000000.0,7.9,77025481.0,3452.0
2,309420425,300000000,963420425,2007.0,2.35,169.0,48350,300000000.0,7.1,139802190.0,4362.0
3,200074175,300000000,879620923,2015.0,2.35,148.0,11700,245000000.0,6.8,70403148.0,3929.0
4,448139099,275000000,1084439099,2012.0,2.35,164.0,106759,250000000.0,8.5,160887295.0,4404.0
5,89302115,275000000,260002115,2013.0,2.35,150.0,45757,215000000.0,6.5,29210849.0,3904.0
6,73058679,275000000,282778100,2012.0,2.35,132.0,1873,263700000.0,6.6,30180188.0,3749.0
7,200821936,260000000,586581936,2010.0,1.85,100.0,2036,260000000.0,7.8,48767052.0,3603.0
8,336530303,258000000,890875303,2007.0,2.35,156.0,46055,258000000.0,6.2,151116516.0,4252.0
8,336530303,258000000,890875303,2007.0,2.35,156.0,46055,258000000.0,6.2,151116516.0,4252.0
9,459005868,250000000,1404705868,2015.0,2.35,141.0,92000,250000000.0,7.5,191271109.0,4276.0
10,407264745,250000000,1150864745,2016.0,2.35,147.0,64798,250000000.0,8.2,179139142.0,4226.0
11,330360194,250000000,868160194,2016.0,2.35,183.0,24450,250000000.0,6.9,166007347.0,4242.0
12,303003568,250000000,1017003568,2012.0,2.35,182.0,9152,180000000.0,7.9,84617303.0,4045.0
13,301959197,250000000,935083686,2009.0,2.35,153.0,58753,250000000.0,7.5,77835727.0,4325.0
14,258366855,250000000,960366855,2013.0,2.35,186.0,9152,225000000.0,7.9,73645197.0,3903.0
15,255119788,250000000,955119788,2014.0,2.35,164.0,9152,250000000.0,7.5,54724334.0,3875.0
16,241063875,250000000,1045663875,2011.0,2.35,136.0,54083,250000000.0,6.7,90151958.0,4155.0
17,200120000,232000000,374085065,2006.0,2.35,169.0,29991,209000000.0,6.1,52535096.0,4065.0
18,169368427,230000000,591692078,2008.0,2.35,106.0,2023,200000000.0,6.7,67528882.0,3451.0
21,291045518,225000000,667999518,2013.0,2.35,143.0,20495,225000000.0,7.2,116619362.0,4207.0
22,141621490,225000000,417341288,2008.0,2.35,150.0,22697,225000000.0,6.6,55034805.0,3929.0
23,262030663,220000000,757890267,2012.0,2.35,153.0,28489,230000000.0,7.0,62004688.0,4318.0
24,652198010,215000000,1670328025,2015.0,2.0,124.0,8458,150000000.0,7.0,208806270.0,4274.0
26,402111870,210000000,836519699,2009.0,2.35,150.0,3218,200000000.0,6.0,108966307.0,4234.0
27,245439076,210000000,1104039076,2014.0,2.35,165.0,3988,210000000.0,5.7,100038390.0,4233.0
29,105269730,210000000,322241588,2010.0,2.35,156.0,3244,200000000.0,6.7,36063385.0,3503.0
30,65233400,209000000,305218228,2012.0,2.35,131.0,26679,209000000.0,5.9,25534825.0,3690.0
33,658672302,200000000,2207615668,1997.0,2.35,194.0,45223,200000000.0,7.7,28638131.0,2674.0
34,415004880,200000000,1069818229,2010.0,1.85,103.0,19085,200000000.0,8.3,110307189.0,4028.0
35,408992272,200000000,1215392272,2013.0,2.35,195.0,30426,200000000.0,7.2,174144585.0,4253.0
36,373524485,200000000,783705001,2004.0,2.35,135.0,43388,200000000.0,7.3,115817364.0,4152.0
38,304360277,200000000,1110526981,2012.0,2.35,143.0,2039,200000000.0,7.8,88364714.0,3505.0
38,304360277,200000000,1110526981,2012.0,2.35,143.0,2039,200000000.0,7.8,88364714.0,3505.0
39,268488329,200000000,743588329,2013.0,1.85,104.0,14863,200000000.0,7.3,82429469.0,4004.0
40,234770996,200000000,490359051,2013.0,2.35,130.0,73441,215000000.0,6.4,79110453.0,3912.0
40,234770996,200000000,490359051,2013.0,2.35,130.0,73441,215000000.0,6.4,79110453.0,3912.0
41,233921534,200000000,747862775,2014.0,2.35,149.0,91434,200000000.0,8.0,90823660.0,3996.0
42,202853933,200000000,708996336,2014.0,2.35,142.0,28631,200000000.0,6.7,91608337.0,4324.0
43,191450875,200000000,560155383,2011.0,2.35,106.0,4482,200000000.0,6.3,66135507.0,4115.0
44,172062763,200000000,397562763,2010.0,2.35,125.0,25550,170000000.0,6.8,44026211.0,3451.0
44,172062763,200000000,397562763,2010.0,2.35,125.0,25549,170000000.0,6.8,44026211.0,3451.0
45,166112167,200000000,788408539,2009.0,2.35,158.0,2144,200000000.0,5.8,65237614.0,3404.0
